prime,area_2000_ha,area_2010_ha,area_2016_ha,area_2023_ha
Bical,911.9,923.87,1076,1232.656
Bicane,,,,3.37
Bijou Noir,,,,6.5
Bilina Privlačka,,,,0.53
Biona,,,,0.03999999911
Birstaler Muskat,,,1.021799996,1.021799996
Biserka Rana,,,,0.02
Black Prince,,,0.6,1.79
Black Queen,566.2453942,712.92097,143.3882396,150.5085278
Blanc Dame,0.22,0.1845,0.1793826869,0.1793826869
Blanc du Bois,,28.32802,81.341886,84.46089
Blanca Ovoide,107,40.03,43.54,44.39
Blanqueiro,0.58,,,
Blasius,,,15.17113917,
Blattner Brickett Red,,,,3.516843
Blattner Cabernet Foch,,,,5.588907
Blattner Cabernet Libre,,,,2.950263
Blattner Cal 1-15,,,0.08679999784,0.08679999784
Blattner Cal 1-20,,,0.4475000128,0.4475000128
Blattner Cal 1-22,,,0.3467999995,0.5117988315
Blattner Cal 1-28,,,1.687299967,8.730199025
Blattner Cal 1-31,,,0.05539999902,0.05539999902
Blattner Cal 1-36,,,1.33130001,3.0489
Blattner Reds,,39.38866,8.15037604,
Blattner Whites,,25.36842,6.94441176,
Blauburger,1885.9,1339.049,1223.090357,896.4389571
Blauer Portugieser,11513.6132,8027.0919,6590.437849,4681.077019
Blauer Wildbacher,936.41,367.96,436.6714983,529.47
Blaufränkisch,16636.10492,17724.43279,17179.5868,15713.65175
Bluebell,,,,40.47
Blush Seedless,10.12,,,0.18
Blutenmuskateller,,,,111.8
Boal Barreiro,,0.58,0.2717576557,0.2717576557
Boal Vencedor,,2.41,2.025383229,2.025383229
Bobal,100128.27,80120,59188.72605,53452
Bogdanuša,,48.3,,42.54
Boiziau,1.35,,,
Bokay,,,4.190383699,6.28557539
Bolero,,,,0.5999999959
Bombino Bianco,2903.452,1239.152,1147.165552,971.58
Bombino Nero,1155.58,1200.91,865.3389188,358
Bonamico,336.0847,232.6975,149.021742,101.5977
Bonarda Grande,538.04,,,
Bonarda Piemontese,23.44,5.96,5926.387399,4306
Bonda,2.87,6.85,7.437155484,
Bondola,16.72,12.72,10.88830036,8.6672
Bordô,,,,10115.40234
Bordô,3379.128,8287.27725,6743.601518,
Borraçal,2654.22,682.69,512.3668223,525.8379223
Borsmenta,,,1,2.3767
Bosco,87.54,81.86,49.6467414,
Bouchales,108.24,95.3485,92.56022904,92.56022904
Bouillet,2.18,0.7588,0.7377538366,0.7377538366
Bourboulenc,772.23,585.2586,501.4,124.4668
Bousquet Precoce,15.9,5.6805,0.06813681256,0.06813681256
Bouvier,729.86,249.5617,223.8604,208.1978
Boğazkere,772.5857596,1106.25,1436.352971,1436.352967
Bracciola Nera,88.8,26.07,3.603993174,
Brachetto del Piemonte,1534.22,1459.81,1691.888734,1212
Branco Escola,,1.82,1.85645035,1.85645035
Branco Gouvaes,,36.37,34.18107706,34.18107706
Branco Sr. Joao,,0.41,0.1976193496,0.1976193496
Branco Valente,,0.21,0.1259690124,0.1259690124
Brandam,,311.61,291.349195,291.349195
Braquet Noir,8.21,12.1742,11.87258598,11.87258598
Bratkovina Bijela,,,,1.07
Bratkovina Crna,,,,0.06
Breidecker,25.1,5.6,0.44,
Brianna,,12.302738,20.76816209,5.8658
Bric,20.87,2.27,1.420108821,
Brocada,2.38,,,
Bronner,,8.98,6.198659646,11.3102731
Brun Argente,13.89,11.2262,10.92573644,10.92573644
Budai Zöld,,6.1511,5.9627,5.4452
Buffalo,,,0.02099999972,4.1257
Bukettraube,,,54.36,
Burdin,0.15,0.0725,0.0449471074,0.0449471074
Bussanello,7.74,11.97,3.05433326,
Busuioacă de Bohotin,,268,343,779.7508
Bácska,,,7.1715,
Béquignol Noir,1083.0228,890.7963,615.8846347,477.1697347
Bíborkadarka,202.343,135.7295,109.3473,61.5357
Băbească Neagră,3722.174,3122,2696,2525.4605
Băbească Neagră (G),,328,297,295.8047
Cabaret Noir,,,2.576699987,13.79662054
Caberinta,85.3437,68.796,38.3,37.9456
Caberne Jjura,,,,2.79123023
Cabernet Blanc,,,6.21249993,14.90916647
Cabernet Cantor,,,1.405800072,14.63600678
Cabernet Carbon,,,10.8915,11.3915
Cabernet Carol,,,6.123300001,6.523300007
Cabernet Cortis,,,38.17219992,147.0029671
Cabernet Cubin,,60,62.42530008,62.03224971
Cabernet Diane,,0.404686,0.4189173937,
Cabernet Dore,,1.214058,1.256752181,
Cabernet Dorio,,36,34.233,35.14049358
Cabernet Dorsa,43,251.6,271.6702002,289.5090806
Cabernet Early,,,0.09139999747,0.09139999747
Cabernet Eidos,,,,0.1599999964
Cabernet Foch,,,1.7806184,1.780618429
Cabernet Franc,48622.02875,52774.62872,49449.67728,45294.74584
